总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
105.0,9849,青山 青山 二至三环,城投秀水青城,3室1厅1厨1卫,低楼层 (共34层),106.61㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-12-02,商品房,2022-09-17,普通住宅,未满两年,非共有,"
                                有抵押 92万元 工商银行 客户偿还
                              ",已上传房本照片,20221012J7JOd
148.0,16392,青山 青山 二至三环,印力中心,2室2厅1厨1卫,低楼层 (共37层),90.29㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-12-01,商品房,2019-09-05,普通住宅,满两年,非共有,"
                                有抵押 50万元 客户偿还
                              ",已上传房本照片,20211025rtA66
167.0,15515,青山 青山 ,钢都花园123街坊,3室2厅1厨2卫,中楼层 (共5层),107.64㎡,错层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-12-20,商品房,2002-01-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20240103Z1L4q
55.0,11700,青山 青山 ,武钢钢花新村121小区,1室1厅1厨1卫,中楼层 (共7层),47.01㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,暂无数据,无,暂无数据,2023-12-12,房改房,2006-12-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20230309qtxeT
91.0,13299,青山 青山 ,才惠社区58小区,3室1厅1厨1卫,中楼层 (共5层),68.43㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,无,暂无数据,2024-01-15,商品房,2003-03-26,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,2021032167UV7
148.0,16535,青山 青山 ,八大家花园38街坊,3室1厅1厨1卫,中楼层 (共31层),89.51㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯五户,有,暂无数据,2023-12-11,限价商品房,2019-03-12,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20231213sf3wx
110.0,13694,青山 青山 ,雅澜苑,2室1厅1厨1卫,高楼层 (共34层),80.33㎡,平层,57.89㎡,板楼,东南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-01-10,商品房,2024-01-09,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20240110J7B0A
144.0,15891,青山 青山 三至四环,铁投江南御景,3室2厅1厨1卫,高楼层 (共29层),90.62㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有,暂无数据,2024-01-03,商品房,2020-10-26,普通住宅,满两年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片,20230623C8ptu
150.0,10505,青山 青山 三至四环,绿地香树花城派克公馆,4室1厅1厨2卫,高楼层 (共54层),142.8㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-20,商品房,2023-12-01,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20231223Tb4nR
65.0,9354,青山 青山 三至四环,七星天兴花园,2室1厅1厨1卫,低楼层 (共18层),69.49㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯六户,有,暂无数据,2023-12-16,动迁安置房,2020-07-12,普通住宅,满两年,共有,"
                                有抵押 40万元 平安银行
                              ",已上传房本照片,20200727oED57
